Word,Count,POS,Definition
Benet,5,n,United States poet; brother of William Rose Benet (1898-1943)
Benin,5,n,a country on western coast of Africa; formerly under French control
Benny,5,n,United States comedian known for his timeing and delivery and self-effacing humor (1894-1974)
Bercy,5,n,butter creamed with white wine and shallots and parsley
beret,5,n,a cap with no brim or bill; made of soft cloth
Beria,5,n,Soviet chief of secret police under Joseph Stalin; was executed by his associates in the power struggle following Stalin's death (1899-1953)
beroe,5,n,delicately iridescent thimble-shaped ctenophores
Berra,5,n,United States baseball player (born 1925)
berry,5,n,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
Berry,5,n,United States rock singer (born in 1931)
berry,5,n,"a small fruit having any of various structures, e.g., simple (grape or blueberry) or aggregate (blackberry or raspberry)"
berth,5,n,a bed on a ship or train; usually in tiers
beryl,5,n,the chief source of beryllium; colored transparent varieties are valued as gems
besom,5,n,a broom made of twigs tied together on a long handle
betel,5,n,Asian pepper plant whose leaves are chewed with betel nut (seed of the betel palm) by southeast Asians
Bethe,5,n,United States physicist (born in Germany) noted for research in astrophysics and nuclear physics (1906-2005)
bevel,5,n,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size
bevel,5,n,two surfaces meeting at an angle different from 90 degrees
Bevin,5,n,British labor leader and statesman who played an important role in diplomacy after World War II (1884-1951)
bezel,5,n,a sloping edge on a cutting tool
Bhaga,5,n,Hindu god of wealth and love
bhang,5,n,a preparation of the leaves and flowers of the hemp plant; much used in India
bialy,5,n,flat crusty-bottomed onion roll
bible,5,n,a book regarded as authoritative in its field
Bible,5,n,the sacred writings of the Christian religions; he went to carry the Word to the heathen
Bibos,5,n,wild ox
bidet,5,n,a basin for washing genitals and anal area
big H,5,n,street names for heroin
bight,5,n,the middle part of a slack rope (as distinguished from its ends)
bight,5,n,a broad bay formed by an indentation in the shoreline; the Bight of Benin; the Great Australian Bight
bight,5,n,a bend or curve (especially in a coastline)
bight,5,n,a loop in a rope
bigos,5,n,a Polish stew of cabbage and meat
bigot,5,n,a prejudiced person who is intolerant of any opinions differing from his own
Bihar,5,n,a state of northeastern India
bijou,5,n,a small and delicately worked piece
bilge,5,n,where the sides of the vessel curve in to form the bottom
bilge,5,n,water accumulated in the bilge of a ship
billy,5,n,male goat
bimbo,5,n,a young woman indulged by rich and powerful older men
Binet,5,n,French psychologist remembered for his studies of the intellectual development of children (1857-1911)
Bioko,5,n,an island in the Gulf of Guinea that is part of Equatorial Guinea
biome,5,n,a major biotic community characterized by the dominant forms of plant life and the prevailing climate
biont,5,n,a discrete unit of living matter
biota,5,n,all the plant and animal life of a particular region
biped,5,n,an animal with two feet
birch,5,n,a switch consisting of a twig or a bundle of twigs from a birch tree; used to hit people as punishment; my father never spared the birch
birch,5,n,any betulaceous tree or shrub of the genus Betula having a thin peeling bark
birch,5,n,hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood
birth,5,n,the event of being born; they celebrated the birth of their first child
birth,5,n,a baby born; an offspring; the overall rate of incidence of Down's syndrome is one in every 800 births
birth,5,n,the time when something begins (especially life); they divorced after the birth of the child; his election signaled the birth of a new age
bison,5,n,any of several large humped bovids having shaggy manes and large heads and short horns
bitch,5,n,female of any member of the dog family
bitch,5,n,an unpleasant difficulty; this problem is a real bitch
biter,5,n,someone who bites
Bitis,5,n,a genus of Viperidae
bitok,5,n,a Russian dish made with patties of ground meat (mixed with onions and bread and milk) and served with a sauce of sour cream
Bizet,5,n,French composer best known for his operas (1838-1875)
black,5,n,black clothing (worn as a sign of mourning); the widow wore black
black,5,n,(board games) the darker pieces
black,5,n,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
Black,5,n,"a person with African ancestry, Negro and Negroid are archaic and pejorative today"
Black,5,n,popular child actress of the 1930's (born in 1928)
Black,5,n,British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
blade,5,n,the flat part of a tool or weapon that (usually) has a cutting edge
blade,5,n,flat surface that rotates and pushes against air or water
